dnmf_L0,MU_L0,dnmf_L1,MU_L1,dnmf_L2,MU_L2
1096087.375,1171610.4269134765,1095386.0,192041.98061590502,1094686.625,129914.75656067213
1090301.625,939895.3187470898,1095378.25,165487.40674341662,1094672.0,103533.70986244609
889893.4375,764881.261256381,1056123.5,154044.52968736182,1068521.125,102034.519147865
717239.5,518791.95242354495,1012222.5625,151949.98175964344,1038882.125,102355.87669266739
569165.0625,378912.4381401625,966327.9375,150704.67792681413,1007803.3125,102139.76716144111
454192.8125,322035.6191550128,919225.75,149685.1140256886,975880.375,101626.24102230018
376024.5,293525.8322363351,871487.0,148867.92491039445,943499.625,100973.58145297127
334512.625,278127.8768179588,823506.5,148207.98818845948,910897.6875,100249.53135805957
323632.28125,267222.7502415066,775646.0625,147652.64405739267,878237.0625,99501.17354541612
335176.21875,257799.09484033874,728097.625,147168.32277207542,845635.375,98760.41283026888
360376.34375,249090.50048077063,681198.4375,146740.2682345912,813210.0,98046.10132456257
390633.21875,241049.79632493836,635214.8125,146361.34834925015,781002.875,97368.98195491474
412194.78125,233660.4386459444,590406.25,146025.6839121227,748997.3125,96734.82492234238
429293.4375,226775.33009590665,546923.9375,145727.56781766453,717316.5625,96146.2170891665
443035.875,220809.09727531488,505107.84375,145461.7380900424,686013.75,95603.61699703147
452131.09375,216177.3377464027,465275.78125,145223.60525334612,655139.625,95106.01728649715
455248.8125,212782.2631271188,427772.1875,145009.27919206765,624744.0625,94651.40394985337
456611.53125,210305.57403892852,393022.53125,144815.484726874,594876.375,94237.10335111273
456974.9375,208457.13771777417,361552.4375,144639.44961086306,565537.4375,93860.05308066192
456860.84375,207038.9889262122,333939.5625,144478.80633126962,536780.5,93517.01075857347
456544.84375,205933.56896244865,310766.71875,144331.51788305605,508697.90625,93204.70962352178
456480.15625,205074.4937486784,292325.3125,144195.8241029822,481348.625,92919.96953327872
456806.59375,204415.73622451903,279088.5,144070.20234946723,454797.0625,92659.77196812659
456841.1875,203911.9517175607,271321.0,143953.3374943195,429127.625,92421.30695771026
455744.71875,203514.76555252585,268721.96875,143844.09794085147,404445.65625,92201.99879965982
454155.5625,203179.59758254854,270386.625,143741.51559624998,380888.4375,91999.51613311071
452033.03125,202874.0720774366,274753.5625,143644.76837878147,358636.03125,91811.77059362484
449930.1875,202580.73826816818,279611.9375,143553.16422018976,337895.1875,91636.90724382883
447791.34375,202293.59699439167,285055.15625,143466.12585410345,318905.09375,91473.28935135754
