dataset,layer,error
1.1,5.0,12412836.0
1.2,5.0,1562670.5
2.1,5.0,265341056.0
2.2,5.0,669717696.0
3.1,5.0,32993896.0
3.2,5.0,3864754.5
4.1,5.0,9282006.0
4.2,5.0,1366603.75
5.1,5.0,19767597056.0
5.2,5.0,96918781952.0
6.1,5.0,25885255680.0
6.2,5.0,34789867520.0
7.1,5.0,2659297.75
7.2,5.0,1914105.125
1.1,10.0,8931173.0
1.2,10.0,1619834.75
2.1,10.0,346131424.0
2.2,10.0,257269152.0
3.1,10.0,13808295.0
3.2,10.0,2815831.0
4.1,10.0,9301600.0
4.2,10.0,588285.375
5.1,10.0,22930206720.0
5.2,10.0,16136727552.0
6.1,10.0,46195806208.0
6.2,10.0,46497488896.0
7.1,10.0,1247317.875
7.2,10.0,1008961.5
1.1,15.0,6960327.0
1.2,15.0,1441899.625
2.1,15.0,12669292544.0
2.2,15.0,177380960.0
3.1,15.0,14684817.0
3.2,15.0,2995048.75
4.1,15.0,7361319.0
4.2,15.0,574520.0
5.1,15.0,5048964096.0
5.2,15.0,48102494208.0
6.1,15.0,173424312320.0
6.2,15.0,38693089280.0
7.1,15.0,1220990.25
7.2,15.0,540901.0625
1.1,20.0,8691715.0
1.2,20.0,1202002.875
2.1,20.0,398870592.0
2.2,20.0,128929008.0
3.1,20.0,17776246.0
3.2,20.0,2548509.75
4.1,20.0,8054974.0
4.2,20.0,478575.59375
5.1,20.0,8887693312.0
5.2,20.0,71194959872.0
6.1,20.0,23432443904.0
6.2,20.0,46692835328.0
7.1,20.0,1014925.875
7.2,20.0,443288.0
