viral,Preys,PreyGene,MIST,Saint_BFDR,AvgSpec,FoldChange,Uniprot Protein ID
E,O00203,AP3B1,0.963550095,0,4.67,46.67,AP3B1_HUMAN
E,O60885,BRD4,0.97848835,0,2.67,26.67,BRD4_HUMAN
E,P25440,BRD2,0.906592876,0,7,70,BRD2_HUMAN
E,Q6UX04,CWC27,0.89310916,0.03,2.67,26.67,CWC27_HUMAN
E,Q86VM9,ZC3H18,0.796415039,0,2.67,26.67,ZCH18_HUMAN
E,Q8IWA5,SLC44A2,0.950342834,0,2.67,26.67,CTL2_HUMAN
M,O75439,PMPCB,0.985120198,0,9.67,96.67,MPPB_HUMAN
M,O95070,YIF1A,0.856000835,0,2.33,23.33,YIF1A_HUMAN
M,P05026,ATP1B1,0.817625601,0,3.67,36.67,AT1B1_HUMAN
M,P11310,ACADM,0.724348569,0,2.67,26.67,ACADM_HUMAN
M,P13804,ETFA,0.718398295,0,2.33,23.33,ETFA_HUMAN
M,P27105,STOM,0.752971772,0,3,30,STOM_HUMAN
M,P38435,GGCX,0.789966998,0.01,2,20,VKGC_HUMAN
M,P38606,ATP6V1A,0.794938493,0.05,2.67,26.67,VATA_HUMAN
M,P48556,PSMD8,0.881424779,0.05,2,20,PSMD8_HUMAN
M,Q00765,REEP5,0.913088507,0,10.67,106.67,REEP5_HUMAN
M,Q10713,PMPCA,0.991059815,0,9.33,93.33,MPPA_HUMAN
M,Q4KMQ2,ANO6,0.993904419,0,9.33,93.33,ANO6_HUMAN
M,Q5JRX3,PITRM1,0.952308232,0,7,70,PREP_HUMAN
M,Q6PML9,SLC30A9,0.886323242,0.05,2,20,ZNT9_HUMAN
M,Q7L8L6,FASTKD5,0.758365887,0,7.33,73.33,FAKD5_HUMAN
M,Q8NEW0,SLC30A7,0.766972437,0,4.67,46.67,ZNT7_HUMAN
M,Q96CW5,TUBGCP3,0.753607002,0,7.67,76.67,GCP3_HUMAN
M,Q96D53,COQ8B,0.80074032,0,3.33,33.33,COQ8B_HUMAN
M,Q96ER3,SAAL1,0.769472929,0,3.33,33.33,SAAL1_HUMAN
M,Q96HR9,REEP6,0.955657163,0.05,2.33,23.33,REEP6_HUMAN
M,Q96HW7,INTS4,0.943304706,0.05,2.67,26.67,INT4_HUMAN
M,Q9BQT8,SLC25A21,0.880779937,0.05,2,20,ODC_HUMAN
M,Q9BSJ2,TUBGCP2,0.83958055,0,13,130,GCP2_HUMAN
M,Q9BW92,TARS2,0.758110505,0,2.67,26.67,SYTM_HUMAN
M,Q9NQC3,RTN4,0.873826097,0,10.67,106.67,RTN4_HUMAN
M,Q9UBU6,FAM8A1,0.80448832,0,2.33,23.33,FA8A1_HUMAN
M,Q9UDR5,AASS,0.765109504,0,3,30,AASS_HUMAN
M,Q9ULX6,AKAP8L,0.751981385,0,4.67,46.67,AKP8L_HUMAN
M,Q9Y312,AAR2,0.801486724,0,4.33,43.33,AAR2_HUMAN
M,Q9Y6E2,BZW2,0.756364362,0,2.33,23.33,BZW2_HUMAN
N,O43818,RRP9,0.861168798,0,13,130,U3IP2_HUMAN
N,P11940,PABPC1,0.736635929,0,7.33,73.33,PABP1_HUMAN
N,P19784,CSNK2A2,0.875048268,0,7,70,CSK22_HUMAN
N,P67870,CSNK2B,0.803607895,0,2.33,23.33,CSK2B_HUMAN
N,Q13283,G3BP1,0.95331626,0,54.67,150.33,G3BP1_HUMAN
N,Q13310,PABPC4,0.846200046,0,10,100,PABP4_HUMAN
N,Q6PKG0,LARP1,0.73787466,0,8.67,86.67,LARP1_HUMAN
N,Q8NCA5,FAM98A,0.921076719,0,3.67,36.67,FA98A_HUMAN
N,Q8TAD8,SNIP1,0.818230245,0,6.67,66.67,SNIP1_HUMAN
N,Q92900,UPF1,0.753067271,0,5.67,56.67,RENT1_HUMAN
N,Q9HCE1,MOV10,0.736672944,0,3.33,33.33,MOV10_HUMAN
N,Q9UN86,G3BP2,0.958133672,0,35.33,194.33,G3BP2_HUMAN
N,Q9NR30,DDX21,0.613544528,0,36.67,28.81,DDX21_HUMAN
N,Q9NW13,RBM28,0.628043125,0,10,100,RBM28_HUMAN
N,Q9Y3U8,RPL36,0.631167513,0,6.33,34.83,RL36_HUMAN
